Transaction Date (取引日),Transaction Type (タイプ),Order ID (オーダーID),Buyer Username (購入者ID),Gross Amount (総額),Final Value Fee (落札手数料),Fixed Fee (固定手数料),International Fee (海外手数料),Total Fee (手数料合計),Net Amount (純額),Currency (通貨),Transaction Status (ステータス),Memo (メモ)
2026-03-25T01:02:37.596Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:01:20.094Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:00:45.737Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T01:00:14.989Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:59:19.082Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:57:22.742Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:56:20.564Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:54:09.567Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:54:09.099Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:53:36.505Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:53:36.494Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:50:25.707Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:50:06.188Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:46:14.173Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:45:42.415Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:39:36.119Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:38:51.037Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:38:21.447Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:37:14.804Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:35:44.844Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:34:37.844Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:34:03.349Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:32:43.370Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:30:08.160Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:29:24.733Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:28:01.603Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:27:34.718Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:26:20.835Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:24:41.743Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:22:42.905Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:22:32.021Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:21:24.172Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:20:25.530Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:16:17.483Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:14:39.396Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:13:57.535Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:13:33.595Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:12:39.165Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:10:28.466Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:08:37.548Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:07:44.225Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:07:11.736Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:04:34.983Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-25T00:00:04.130Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:59:08.955Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:54:50.742Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:54:30.042Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:53:04.925Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:53:03.376Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:52:02.954Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:50:23.842Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:49:49.014Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:48:01.018Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:47:10.021Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:47:03.537Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:45:45.361Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:41:34.504Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:40:59.544Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
2026-03-24T23:39:45.588Z,NON_SALE_CHARGE,,,0.0,0.0,0.0,0.0,0.0,0.11,USD,PAYOUT,Insertion Fee
