seller-sku	quantity	price	product-id
B00KN2QK5E	1	73.43	B00KN2QK5E
B00KN2QL4Y	1	65.7	B00KN2QL4Y
B00KN2QMB6	1	55.8	B00KN2QMB6
B00KWWZB0K	1	162.41	B00KWWZB0K
B00L4H8BC2	1	77.88	B00L4H8BC2
B00L4XEEU4	1	60.45	B00L4XEEU4
B00L8DB64W	1	107	B00L8DB64W
B00LFVN7JY	1	69.74	B00LFVN7JY
B00LOY1NXY	1	79.74	B00LOY1NXY
B00M3TK89Y	1	84.39	B00M3TK89Y
B00M3TK92K	1	84.39	B00M3TK92K
B00M3ZU8S4	1	69.93	B00M3ZU8S4
B00M889ZWG	1	55.45	B00M889ZWG
B00MHNEP2C	1	114.7	B00MHNEP2C
B00MWKCQYE	1	86.82	B00MWKCQYE
B00NHL2PXO	1	160.73	B00NHL2PXO
B00NHU4UK6	1	113.85	B00NHU4UK6
B00NNL3RWG	1	59.47	B00NNL3RWG
B00NOJZR4S	1	98.86	B00NOJZR4S
B00NW6KW5C	1	95.43	B00NW6KW5C
B00O271AW4	1	84.18	B00O271AW4
B00OOCAHUS	1	109.3	B00OOCAHUS
B00OOM7FJY	1	78.46	B00OOM7FJY
B00OZD3TJ2	1	277.79	B00OZD3TJ2
B00PCOU3NI	1	83.02	B00PCOU3NI
B00PMEYNT8	1	145.43	B00PMEYNT8
B00PU64HYY	1	70.77	B00PU64HYY
B00PVKN0G0	1	385.75	B00PVKN0G0
B00QMVV0FK	1	117.28	B00QMVV0FK
B00QMVV28K	1	73.95	B00QMVV28K
B00R9O4U3I	1	83.03	B00R9O4U3I
B00RX5C6UW	1	66.61	B00RX5C6UW
B00S769IIO	1	144.95	B00S769IIO
B00ST0KRF6	1	195.36	B00ST0KRF6
B00SW9BG9A	1	194.69	B00SW9BG9A
B00SW9BHNU	1	216.31	B00SW9BHNU
B00SW9CMFC	1	198.33	B00SW9CMFC
B00SW9CNYC	1	194.69	B00SW9CNYC
B00T4954UO	1	131.85	B00T4954UO
B00TKW4YTM	1	53.99	B00TKW4YTM
B00U5XFBEC	1	84.18	B00U5XFBEC
B00V43GFTM	1	361.85	B00V43GFTM
B00V656V9M	1	410.84	B00V656V9M
B00V7ORLGO	1	84.39	B00V7ORLGO
B00VGPRI9E	1	73.08	B00VGPRI9E
B00VWX69GS	1	93	B00VWX69GS
B00W6W63PQ	1	107.37	B00W6W63PQ
B00WDV3B28	1	79.61	B00WDV3B28
B00WDV3IA8	1	384.31	B00WDV3IA8
B00WFA2DOO	1	65.47	B00WFA2DOO
B00WL4LDIQ	1	67.86	B00WL4LDIQ
B00WUMU07O	1	424.62	B00WUMU07O
B00WV0KWMS	1	56.92	B00WV0KWMS
B00WV0KXH2	1	67.25	B00WV0KXH2
B00XL01PQO	1	64.35	B00XL01PQO
B00XWC8DEI	1	93.41	B00XWC8DEI
B00Z7LKBY2	1	66.3	B00Z7LKBY2
B00ZCIU8K2	1	96.84	B00ZCIU8K2
B010ODP3B8	1	97.2	B010ODP3B8
B010UBXFH8	1	101.71	B010UBXFH8
B011W6NGSS	1	75.75	B011W6NGSS
B0126EB8TE	1	92.41	B0126EB8TE
B012C4E7F0	1	145.07	B012C4E7F0
B012C4ERXM	1	174.52	B012C4ERXM
B012XZULKS	1	81.38	B012XZULKS
B013FG64SW	1	87.89	B013FG64SW
B013IYBN8M	1	60.68	B013IYBN8M
B0148ADWPW	1	77.88	B0148ADWPW
B014GWKUWK	1	121.14	B014GWKUWK
B014KEPB5A	1	116.47	B014KEPB5A
B0156FJACC	1	302.03	B0156FJACC
B015AQIN1G	1	97.75	B015AQIN1G
B015IBCV0M	1	104.83	B015IBCV0M
B015J34PN0	1	104.08	B015J34PN0
B015UBO5NG	1	73.98	B015UBO5NG
B015Z9O87G	1	65.72	B015Z9O87G
B01606Z7K0	1	64.43	B01606Z7K0
B01606Z7X2	1	58.34	B01606Z7X2
B0169GVBCY	1	82.99	B0169GVBCY
B016LRXUDE	1	69.64	B016LRXUDE
B016N6TSVG	1	62.62	B016N6TSVG
B016YRZRBE	1	61.69	B016YRZRBE
B017AQXYO0	1	162.26	B017AQXYO0
B017BZVMG2	1	64.19	B017BZVMG2
B017H6ICYK	1	109.93	B017H6ICYK
B017HRBGZG	1	59.79	B017HRBGZG
B017VXINHA	1	78.43	B017VXINHA
B017VXINI4	1	64.37	B017VXINI4
B017WEWMPC	1	96.36	B017WEWMPC
B0188G0BGK	1	79.71	B0188G0BGK
B018GVWWBO	1	69.19	B018GVWWBO
B018PZLZVO	1	113.75	B018PZLZVO
B019GGUZRQ	1	65.77	B019GGUZRQ
B019WJ0BS0	1	390.97	B019WJ0BS0
B01A8G6QC6	1	68.03	B01A8G6QC6
B01AN9QLCS	1	67.22	B01AN9QLCS
B01AX8DAZ0	1	201.98	B01AX8DAZ0
B01BGSDMK4	1	61.57	B01BGSDMK4
B01BL91YI0	1	169.98	B01BL91YI0
B01BL91YV2	1	154.24	B01BL91YV2
B01BOQ2VLY	1	53.95	B01BOQ2VLY
B01BOS6B0O	1	294.05	B01BOS6B0O
B01C05F228	1	234.57	B01C05F228
B01C05F3KO	1	223	B01C05F3KO
B01C05F4BM	1	224.03	B01C05F4BM
B01C05F534	1	212.49	B01C05F534
B01C05F6JW	1	224.06	B01C05F6JW
B01C05F79Q	1	223	B01C05F79Q
B01C05F9SA	1	225.11	B01C05F9SA
B01C05FCZU	1	225.11	B01C05FCZU
B01C05FEO4	1	234.57	B01C05FEO4
B01C05FFJI	1	235.62	B01C05FFJI
B01C05FGEC	1	227.21	B01C05FGEC
B01CWM0PN0	1	472.47	B01CWM0PN0
B01CWM0SW8	1	430.27	B01CWM0SW8
B01D1ESSGE	1	271.08	B01D1ESSGE
B01D1ET4TO	1	284.75	B01D1ET4TO
B01D1ET9VW	1	283.7	B01D1ET9VW
B01D1EUK24	1	275.28	B01D1EUK24
B01D1EWF3Q	1	264.77	B01D1EWF3Q
B01D1EWUJA	1	271.6	B01D1EWUJA
B01D1MPLIE	1	64.19	B01D1MPLIE
B01D4NGXDC	1	58.91	B01D4NGXDC
B01DDDRUG2	1	112.23	B01DDDRUG2
B01DDIPOGK	1	173.17	B01DDIPOGK
B01DQI7QJA	1	238.83	B01DQI7QJA
B01FTUB1RG	1	65.81	B01FTUB1RG
B01G46G08O	1	60.26	B01G46G08O
B01GKK58G4	1	137.32	B01GKK58G4
B01GWGC74W	1	463.36	B01GWGC74W
B01H0W5RUI	1	84.39	B01H0W5RUI
B01H5JT018	1	66.61	B01H5JT018
B01H5JT12Q	1	65.86	B01H5JT12Q
B01HHUY6VY	1	282.32	B01HHUY6VY
B01HHUY6X2	1	278.64	B01HHUY6X2
B01HNORGLQ	1	104.69	B01HNORGLQ
B01HNORGS4	1	77.38	B01HNORGS4
B01HO40U0O	1	212.62	B01HO40U0O
B01I2VI1YA	1	92.29	B01I2VI1YA
B01INUMKD8	1	153.78	B01INUMKD8
B01JEZ32CO	1	67.56	B01JEZ32CO
B01JI0T698	1	99.84	B01JI0T698
B01KUSOBQA	1	90.84	B01KUSOBQA
B01KYQV9U4	1	240.32	B01KYQV9U4
B01KYU2JLS	1	160.75	B01KYU2JLS
B01LTHKZAC	1	279.06	B01LTHKZAC
B01LTHMZGY	1	118.12	B01LTHMZGY
B01LXOHK7F	1	64.33	B01LXOHK7F
B01LY3A18I	1	246.95	B01LY3A18I
B01M1MZL2B	1	173.98	B01M1MZL2B
B01M6YW8VB	1	108.67	B01M6YW8VB
B01MDMAQEL	1	69.68	B01MDMAQEL
B01MG3C1D1	1	96.82	B01MG3C1D1
B01MQR0PE8	1	298.08	B01MQR0PE8
B01MSJNJVD	1	145.08	B01MSJNJVD
B01MT8GPRV	1	65.46	B01MT8GPRV
B01MTL4V3R	1	150.23	B01MTL4V3R
B01MYAS965	1	177.55	B01MYAS965
B01MYE5BXH	1	61.74	B01MYE5BXH
B01N1TV14I	1	78.8	B01N1TV14I
B01N35FPYC	1	58.85	B01N35FPYC
B01N8PS75N	1	149.06	B01N8PS75N
B01NA0938A	1	341.77	B01NA0938A
